popularity,liveness,valence,tempo,duration_ms,release_date,release_dates,release_dates
[54,0.173,0.562,106.99,199653,2020/6/1,"2020/6/1","2020/6/1"],
[39,0.273,0.501,129.956,225400,2020/6/1,"2020/6/2","2020/6/2"],
[35,0.701,0.685,108.006,193467,2020/6/1,"2020/6/3","2020/6/3"],
[36,0.0446,0.814,111.517,186707,2020/6/1,"2020/6/4","2020/6/4"],
[34,0.282,0.478,110.8,168893,2020/6/1,"2020/6/5","2020/6/5"],
[33,0.112,0.613,187.873,173347,2020/6/1,"2020/6/6","2020/6/6"],
[35,0.35,0.589,110.029,191987,2020/6/1,"2020/6/7","2020/6/7"],
[67,0.173,0.562,106.99,199653,2020/6/1,"2020/6/8","2020/6/8"],
[51,0.273,0.501,129.956,225400,2020/6/1,"2020/6/9","2020/6/9"],
[49,0.701,0.685,108.006,193467,2020/6/1,"2020/6/10","2020/6/10"],
[51,0.0446,0.814,111.517,186707,2020/6/1,"2020/6/11","2020/6/11"],
[49,0.282,0.478,110.8,168893,2020/6/1,"2020/6/12","2020/6/12"],
[45,0.112,0.613,187.873,173347,2020/6/1,"2020/6/13","2020/6/13"],
[47,0.35,0.589,110.029,191987,2020/6/1,"2020/6/14","2020/6/14"],
[60,0.463,0.769,150.084,205493,2020/10/26,"2020/10/26","2020/10/26"],
[37,0.107,0.694,105.042,179320,2020/10/26,"2020/10/26","2020/10/26"],
[42,0.103,0.713,119.948,214240,2020/10/26,"2020/10/26","2020/10/26"],
[37,0.091,0.715,124.926,179587,2020/10/26,"2020/10/26","2020/10/26"],
[34,0.118,0.606,115.051,208133,2020/10/26,"2020/10/26","2020/10/26"],
[35,0.663,0.483,105.009,196947,2020/10/26,"2020/10/26","2020/10/26"],
[40,0.107,0.423,105.882,193573,2020/10/26,"2020/10/26","2020/10/26"],
[36,0.0999,0.509,100.062,181520,2020/10/26,"2020/10/26","2020/10/26"],
[36,0.357,0.553,97.995,209480,2020/10/26,"2020/10/26","2020/10/26"],
[34,0.0898,0.69,85.96,171053,2020/10/26,"2020/10/26","2020/10/26"],
[36,0.455,0.522,100.156,198867,2020/10/26,"2020/10/26","2020/10/26"],
[35,0.0646,0.723,105.963,247360,2020/10/26,"2020/10/26","2020/10/26"],
[34,0.195,0.346,86.468,218533,2020/10/26,"2020/10/26","2020/10/26"],
[76,0.463,0.769,150.084,205493,2020/10/26,"2020/10/26","2020/10/26"],
[57,0.107,0.694,105.042,179320,2020/10/26,"2020/10/26","2020/10/26"],
[61,0.103,0.713,119.948,214240,2020/10/26,"2020/10/26","2020/10/26"],
[52,0.091,0.715,124.926,179587,2020/10/26,"2020/10/26","2020/10/26"],
