popularity,speechiness,acousticness,release_date,song_name
[58,0.0335,0.395,2021,"Wonderful Day"],
[37,0.0302,0.0221,2021,"Doughnut (Instrumental)"],
[29,0.0298,0.198,2021,"Wonderful Day (Instrumental)"],
[12,0.0315,0.233,2021,"Doughnut"],
[17,0.0335,0.395,2021,"Wonderful Day"],
[2,0.0302,0.0221,2021,"Doughnut (Instrumental)"],
[2,0.0298,0.198,2021,"Wonderful Day (Instrumental)"],
[69,0.0315,0.233,2021,"Doughnut"],
[27,0.0623,0.0374,2021,"The Feels - Benny Benassi Remix"],
[28,0.0729,0.0899,2021,"The Feels"],
[25,0.148,0.0815,2021,"The Feels - The Stereotypes Remix"],
[22,0.068,0.00771,2021,"The Feels - YVES V Remix"],
[15,0.041,0.000394,2021,"The Feels - Instrumental"],
[12,0.0692,0.00993,2021,"The Feels - Benny Benassi Remix Extended"],
[10,0.048,0.00265,2021,"The Feels - The Stereotypes Remix Instrumental"],
[10,0.0383,0.000238,2021,"The Feels - YVES V Remix Instrumental"],
[7,0.0382,0.0314,2021,"The Feels - Benny Benassi Remix Instrumental"],
[40,0.06,0.0378,2021,"The Feels (Benny Benassi Remix)"],
[63,0.0729,0.0899,2021,"The Feels"],
[36,0.147,0.0828,2021,"The Feels (The Stereotypes Remix)"],
[37,0.0678,0.00771,2021,"The Feels (YVES V Remix)"],
[33,0.041,0.000394,2021,"The Feels (Instrumental)"],
[25,0.0697,0.00988,2021,"The Feels (Benny Benassi Remix Extended)"],
[26,0.0481,0.00259,2021,"The Feels (The Stereotypes Remix � Instrumental)"],
[26,0.0383,0.000238,2021,"The Feels (YVES V Remix � Instrumental)"],
[21,0.0378,0.0306,2021,"The Feels (Benny Benassi Remix � Instrumental)"],
[56,0.0729,0.0899,2021,"The Feels"],
[29,0.148,0.0815,2021,"The Feels - The Stereotypes Remix"],
[21,0.068,0.00771,2021,"The Feels - YVES V Remix"],
[13,0.041,0.000394,2021,"The Feels - Instrumental"],
[10,0.048,0.00265,2021,"The Feels - The Stereotypes Remix Instrumental"],
[10,0.0383,0.000238,2021,"The Feels - YVES V Remix Instrumental"],
[22,0.0729,0.0899,2021,"The Feels"],
[3,0.147,0.0832,2021,"The Feels (The Stereotypes Remix)"],
[3,0.0678,0.00771,2021,"The Feels (YVES V Remix)"],
[1,0.041,0.000394,2021,"The Feels (Instrumental)"],
[1,0.0465,0.00269,2021,"The Feels (The Stereotypes Remix Instrumental)"],
[1,0.0383,0.000238,2021,"The Feels (YVES V Remix Instrumental)"],
