,popularity,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name
161,35,0.657,0.643,9,0.0279,0.116,0.0,0.336,0.536,80.01,226173,4,TWICE,2020-02-05,The Reason Why
162,43,0.678,0.808,5,0.0599,0.0569,0.0,0.288,0.765,125.938,219625,4,TWICE,2019-11-20,Fake & True
163,28,0.832,0.9,9,0.0647,0.0217,0.000138,0.315,0.962,127.041,194973,4,TWICE,2019-11-20,Stronger
164,31,0.868,0.728,6,0.11,0.0439,0.0,0.0975,0.616,112.006,217651,4,TWICE,2019-11-20,Breakthrough
165,30,0.832,0.904,7,0.0729,0.261,0.00029,0.0932,0.81,120.04,222093,4,TWICE,2019-11-20,Changing!
166,32,0.609,0.932,10,0.145,0.173,0.000946,0.396,0.755,179.995,206974,4,TWICE,2019-11-20,HAPPY HAPPY
167,27,0.754,0.91,10,0.0735,0.024,2.53e-06,0.302,0.695,119.972,201600,4,TWICE,2019-11-20,What You Waiting For
168,27,0.854,0.714,0,0.149,0.0305,0.0,0.0413,0.634,115.017,188840,4,TWICE,2019-11-20,Be OK
169,33,0.642,0.874,7,0.206,0.114,0.00031,0.0397,0.888,204.112,181693,4,TWICE,2019-11-20,POLISH
170,27,0.677,0.745,7,0.0463,0.0237,0.0067,0.0541,0.43,83.482,209467,4,TWICE,2019-11-20,How u doin'
171,33,0.657,0.643,9,0.0279,0.116,0.0,0.336,0.536,80.01,226173,4,TWICE,2019-11-20,The Reason Why
172,49,0.678,0.808,5,0.0599,0.0569,0.0,0.288,0.765,125.938,219625,4,TWICE,2019-11-20,Fake & True
173,39,0.832,0.9,9,0.0647,0.0217,0.000138,0.315,0.962,127.041,194973,4,TWICE,2019-11-20,Stronger
174,55,0.868,0.728,6,0.11,0.0439,0.0,0.0975,0.616,112.006,217651,4,TWICE,2019-11-20,Breakthrough
175,40,0.832,0.904,7,0.0729,0.261,0.00029,0.0932,0.81,120.04,222093,4,TWICE,2019-11-20,Changing!
176,40,0.609,0.932,10,0.145,0.173,0.000946,0.396,0.755,179.995,206974,4,TWICE,2019-11-20,HAPPY HAPPY
177,41,0.754,0.91,10,0.0735,0.024,2.53e-06,0.302,0.695,119.972,201600,4,TWICE,2019-11-20,What You Waiting For
178,37,0.854,0.714,0,0.149,0.0305,0.0,0.0413,0.634,115.017,188840,4,TWICE,2019-11-20,Be OK
179,39,0.642,0.874,7,0.206,0.114,0.00031,0.0397,0.888,204.112,181693,4,TWICE,2019-11-20,POLISH
180,37,0.677,0.745,7,0.0463,0.0237,0.0067,0.0541,0.43,83.482,209467,4,TWICE,2019-11-20,How u doin'
181,44,0.657,0.643,9,0.0279,0.116,0.0,0.336,0.536,80.01,226173,4,TWICE,2019-11-20,The Reason Why
182,60,0.709,0.959,1,0.0603,0.0296,0.00188,0.107,0.644,128.983,206868,4,TWICE,2019-09-23,Feel Special
183,38,0.776,0.844,0,0.167,0.0203,1.25e-06,0.14,0.716,133.987,177086,4,TWICE,2019-09-23,RAINBOW
184,40,0.727,0.956,11,0.0725,0.046,0.00128,0.338,0.851,119.999,186970,4,TWICE,2019-09-23,GET LOUD
185,37,0.756,0.897,0,0.078,0.0895,1.68e-05,0.14,0.619,128.038,193996,4,TWICE,2019-09-23,TRICK IT
186,47,0.72,0.836,2,0.1,0.11,2.74e-06,0.0575,0.623,114.961,191228,4,TWICE,2019-09-23,LOVE FOOLISH
187,33,0.654,0.725,11,0.03,0.114,0.0,0.376,0.588,89.986,228917,3,TWICE,2019-09-23,21:29
188,31,0.866,0.722,6,0.127,0.0486,0.0,0.0926,0.68,112.006,217651,4,TWICE,2019-09-23,BREAKTHROUGH - Korean Ver.
189,72,0.708,0.959,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,206867,4,TWICE,2019-09-23,Feel Special
190,49,0.771,0.849,0,0.129,0.0236,5.49e-06,0.144,0.761,133.994,177080,4,TWICE,2019-09-23,RAINBOW
191,53,0.729,0.953,11,0.0774,0.0464,0.00162,0.338,0.847,120.004,186973,4,TWICE,2019-09-23,GET LOUD
192,50,0.752,0.896,0,0.0742,0.0867,6.75e-06,0.135,0.659,127.983,194000,4,TWICE,2019-09-23,TRICK IT
193,58,0.721,0.84,2,0.0971,0.118,4.3e-06,0.0576,0.577,114.965,191227,4,TWICE,2019-09-23,LOVE FOOLISH
194,50,0.531,0.727,11,0.0427,0.126,0.0,0.429,0.616,179.986,228907,3,TWICE,2019-09-23,21:29
195,44,0.865,0.715,6,0.122,0.0434,0.0,0.12,0.676,112.019,217693,4,TWICE,2019-09-23,BREAKTHROUGH (Korean Version)
196,47,0.706,0.895,4,0.0502,0.0669,0.0,0.237,0.562,123.043,237490,4,TWICE,2018-12-26,STAY BY MY SIDE
197,41,0.715,0.862,10,0.0444,0.0113,0.0,0.108,0.668,137.93,197800,4,TWICE,2018-12-26,BDZ
198,35,0.74,0.928,7,0.0633,0.00288,0.0,0.319,0.671,129.955,183001,4,TWICE,2018-12-26,One More Time
199,38,0.599,0.943,0,0.0894,0.177,2.6e-05,0.141,0.84,174.059,202010,4,TWICE,2018-12-26,Candy Pop
200,35,0.806,0.858,8,0.0715,0.053,0.0,0.109,0.871,125.005,203040,4,TWICE,2018-12-26,L.O.V.E
201,37,0.516,0.719,6,0.0458,0.16,0.0,0.0541,0.433,205.786,272493,4,TWICE,2018-12-26,Wishing
202,34,0.751,0.838,7,0.137,0.279,0.0,0.0673,0.579,129.985,203587,4,TWICE,2018-12-26,Say it again
203,34,0.656,0.994,6,0.0807,0.209,0.0,0.318,0.795,125.979,211800,4,TWICE,2018-12-26,Wake Me Up
204,33,0.674,0.965,7,0.0696,0.016,9.59e-05,0.145,0.75,157.041,213956,4,TWICE,2018-12-26,BRAND NEW GIRL
205,38,0.613,0.558,8,0.0361,0.465,0.0,0.0975,0.358,142.003,231120,4,TWICE,2018-12-26,Be as ONE
